customer_id,scoring_date,campaign_id,region,preferred_channel,loyalty_tier,customer_tenure_days,recency_days,orders_180d,spend_180d,average_order_value_180d,email_open_rate_90d,email_click_rate_90d,site_sessions_30d,prior_campaigns_12m,prior_campaign_responses_12m,days_since_last_campaign,discount_share_180d,margin_rate_180d,marketing_consent,contact_suppressed,responded_within_14d,response_order_value_14d,opened_current_campaign,clicked_current_campaign,response_probability_generator_only
HP000352,2026-02-01,RET-202602,NORTHEAST,SMS,STANDARD,305,18,2,177.41,93.9,0.209,0.074,1,6,1,28,0.5855,0.3569,1,0,0,0.0,0,0,0.058214
HP005531,2026-06-01,RET-202606,WEST,EMAIL,STANDARD,1952,37,0,0.0,59.39,0.3664,0.0594,2,7,1,150,0.2623,0.4083,1,0,0,0.0,0,0,0.044743
HP001209,2026-03-01,RET-202603,WEST,EMAIL,PLUS,1222,4,8,1452.0,175.47,0.3712,0.1216,2,2,0,47,0.1198,0.4569,1,0,0,0.0,1,0,0.084363
HP003171,2026-01-01,RET-202601,WEST,SMS,STANDARD,1337,26,1,63.92,74.74,0.3956,0.1646,1,12,2,34,0.4021,0.3967,1,0,0,0.0,0,0,0.055497
HP002015,2025-12-01,RET-202512,MIDWEST,EMAIL,PLUS,540,68,2,143.67,63.14,0.1463,0.0425,1,2,0,33,0.4012,0.4609,1,0,0,0.0,0,0,0.040499
HP000746,2026-07-01,RET-202607,WEST,SMS,PLUS,1564,15,0,0.0,75.72,0.1522,0.02,0,10,0,32,0.85,0.3813,1,0,0,0.0,0,0,0.076336
HP000336,2026-06-01,RET-202606,SOUTH,SMS,STANDARD,363,44,0,0.0,35.82,0.4752,0.0478,4,6,0,43,0.2075,0.4496,1,0,0,0.0,0,0,0.035139
HP001808,2026-01-01,RET-202601,MIDWEST,PUSH,STANDARD,623,2,1,50.14,48.02,0.5278,0.1986,2,8,1,43,0.3938,0.4369,1,0,0,0.0,1,0,0.09122
HP000135,2026-01-01,RET-202601,WEST,EMAIL,PLUS,1833,50,0,0.0,93.67,0.0164,0.0013,1,2,0,57,0.5462,0.3709,1,0,0,0.0,0,0,0.033121
HP003802,2026-06-01,RET-202606,MIDWEST,PUSH,STANDARD,545,23,1,54.39,54.17,0.0967,0.0199,0,3,0,41,0.8124,0.3606,1,0,0,0.0,0,0,0.073367
HP005397,2025-09-01,RET-202509,WEST,EMAIL,PLUS,1703,5,0,0.0,47.81,0.6793,0.2273,6,12,2,40,0.1689,0.4642,1,0,0,0.0,1,0,0.113166
HP000875,2026-02-01,RET-202602,WEST,PUSH,PLUS,1537,32,1,67.13,63.12,0.4948,0.1079,2,7,0,167,0.1288,0.4512,1,0,0,0.0,0,0,0.04207
HP001522,2025-12-01,RET-202512,MIDWEST,SMS,STANDARD,2061,23,2,259.73,108.31,0.1761,0.0183,2,7,0,69,0.312,0.428,1,0,1,232.41,0,0,0.055822
HP005671,2026-06-01,RET-202606,WEST,EMAIL,STANDARD,790,3,3,195.75,57.3,0.3874,0.0829,2,9,0,19,0.1207,0.5087,1,0,0,0.0,0,0,0.062156
HP004984,2026-08-01,RET-202608,WEST,SMS,PLUS,1066,61,2,111.13,56.47,0.0553,0.0082,0,12,0,58,0.5104,0.3885,1,0,0,0.0,0,0,0.024314
HP001431,2026-04-01,RET-202604,NORTHEAST,SMS,PREMIUM,1908,1,10,1798.86,159.3,0.6981,0.4898,4,8,4,32,0.8571,0.3158,1,0,1,156.2,1,1,0.664266
HP004855,2025-12-01,RET-202512,WEST,SMS,PLUS,632,50,4,209.47,38.11,0.1049,0.0156,0,8,0,28,0.3815,0.4353,1,0,0,0.0,0,0,0.061103
HP005259,2026-03-01,RET-202603,WEST,PUSH,PLUS,2088,43,2,154.11,72.15,0.0783,0.0114,1,3,0,68,0.4292,0.4074,1,0,0,0.0,0,0,0.033861
HP004185,2025-10-01,RET-202510,WEST,PUSH,PLUS,1555,38,0,0.0,34.31,0.2309,0.0769,3,8,0,19,0.3564,0.4937,1,0,0,0.0,0,0,0.039718
HP003320,2026-04-01,RET-202604,SOUTH,EMAIL,PLUS,1212,50,2,124.62,59.62,0.3076,0.1017,2,4,0,17,0.5944,0.3782,1,0,0,0.0,0,0,0.044678
HP000961,2026-04-01,RET-202604,NORTHEAST,EMAIL,PREMIUM,532,11,5,104.83,21.3,0.8595,0.5245,3,6,2,49,0.5546,0.4049,1,0,1,25.35,1,0,0.23424
HP005421,2026-02-01,RET-202602,NORTHEAST,EMAIL,PLUS,1534,19,4,187.92,45.5,0.5181,0.1897,3,2,1,32,0.6267,0.3952,1,0,0,0.0,1,0,0.149944
HP001335,2025-11-01,RET-202511,MIDWEST,SMS,PREMIUM,774,4,3,453.21,143.22,0.5058,0.1322,4,9,2,40,0.4598,0.4088,1,0,1,187.74,1,0,0.141517
HP003897,2025-09-01,RET-202509,WEST,EMAIL,STANDARD,919,20,1,28.93,30.16,0.5821,0.1749,0,11,0,34,0.46,0.3982,1,0,0,0.0,1,1,0.071166
HP000370,2026-08-01,RET-202608,WEST,PUSH,PREMIUM,1985,14,1,96.43,95.94,0.4785,0.1605,5,3,1,4,0.4882,0.4125,1,0,1,78.18,1,0,0.120208
HP004131,2026-03-01,RET-202603,NORTHEAST,EMAIL,STANDARD,422,106,1,34.32,35.11,0.1048,0.0078,1,12,0,64,0.4748,0.4811,1,0,0,0.0,0,0,0.019937
HP002075,2026-03-01,RET-202603,SOUTH,EMAIL,PLUS,418,3,1,59.24,61.4,0.159,0.0407,3,9,1,45,0.728,0.3627,1,0,0,0.0,0,0,0.134141
HP000319,2026-08-01,RET-202608,SOUTH,EMAIL,PREMIUM,1523,21,1,114.56,111.39,0.5652,0.218,5,4,0,76,0.3648,0.4066,1,0,0,0.0,1,0,0.097599
HP003121,2026-08-01,RET-202608,SOUTH,EMAIL,PREMIUM,2153,15,2,262.87,126.57,0.2008,0.0551,2,9,1,19,0.8982,0.403,1,0,0,0.0,0,0,0.084172
HP003440,2026-04-01,RET-202604,MIDWEST,SMS,STANDARD,1693,8,2,110.55,58.32,0.4733,0.128,0,9,1,75,0.4689,0.4305,1,0,0,0.0,0,0,0.05799
HP001966,2025-10-01,RET-202510,SOUTH,EMAIL,PLUS,162,34,8,431.25,49.35,0.6381,0.3283,5,7,4,69,0.4864,0.3948,1,0,0,0.0,1,0,0.167424
HP001283,2026-05-01,RET-202605,SOUTH,EMAIL,PREMIUM,2079,3,5,778.63,136.72,0.6124,0.2656,2,12,1,32,0.162,0.487,1,0,0,0.0,1,1,0.250458
HP005713,2026-03-01,RET-202603,WEST,EMAIL,PLUS,1751,26,0,0.0,37.36,0.0809,0.0138,3,10,0,39,0.1346,0.4601,1,0,0,0.0,0,0,0.039764
HP003851,2026-02-01,RET-202602,SOUTH,PUSH,PLUS,743,23,3,108.82,31.23,0.1106,0.0289,6,8,0,17,0.1811,0.4684,1,0,0,0.0,0,0,0.04851
HP004128,2026-05-01,RET-202605,NORTHEAST,EMAIL,PREMIUM,522,18,1,73.09,66.0,0.4302,0.1507,1,7,0,46,0.4045,0.3984,1,0,1,44.16,0,0,0.084476
HP000630,2026-01-01,RET-202601,WEST,EMAIL,PLUS,2099,38,0,0.0,71.22,0.0453,0.0033,0,4,0,26,0.1235,0.4706,1,0,0,0.0,0,0,0.029263
HP000797,2026-02-01,RET-202602,SOUTH,EMAIL,PLUS,254,7,1,88.24,99.5,0.1524,0.0185,0,5,0,8,0.2126,0.4412,1,0,0,0.0,1,0,0.044258
HP001906,2026-01-01,RET-202601,NORTHEAST,EMAIL,STANDARD,702,23,0,0.0,63.28,0.1312,0.0308,1,8,1,14,0.341,0.3858,1,0,0,0.0,1,0,0.047697
HP001883,2026-07-01,RET-202607,MIDWEST,EMAIL,STANDARD,488,89,3,135.41,51.48,0.3601,0.101,3,5,0,44,0.733,0.3339,1,0,0,0.0,0,0,0.065633
HP003163,2026-05-01,RET-202605,MIDWEST,EMAIL,STANDARD,2170,37,1,76.87,62.72,0.2174,0.0515,5,3,0,9,0.0663,0.4824,1,0,0,0.0,1,0,0.040882
HP001064,2026-07-01,RET-202607,NORTHEAST,SMS,PREMIUM,1984,12,1,110.68,104.64,0.3554,0.1127,0,12,1,14,0.4425,0.4472,1,0,0,0.0,1,0,0.028017
HP000350,2026-02-01,RET-202602,MIDWEST,PUSH,PLUS,1389,23,2,195.83,104.38,0.3071,0.114,0,2,0,116,0.5953,0.3926,1,0,0,0.0,0,0,0.045672
HP000125,2025-09-01,RET-202509,MIDWEST,PUSH,PLUS,739,64,4,373.27,103.18,0.4843,0.1147,0,5,0,75,0.3782,0.4485,1,0,0,0.0,0,0,0.035833
HP004331,2025-11-01,RET-202511,MIDWEST,EMAIL,PREMIUM,1656,3,10,1385.98,151.7,0.7363,0.523,8,8,5,42,0.7237,0.4211,1,0,1,177.04,1,1,0.784835
HP003577,2026-08-01,RET-202608,NORTHEAST,PUSH,STANDARD,1372,14,2,133.64,,0.5125,0.179,0,7,0,102,0.5854,0.4018,1,0,1,69.14,1,0,0.063559
HP005082,2025-10-01,RET-202510,SOUTH,SMS,STANDARD,1132,28,2,70.98,39.12,0.0851,0.0167,3,10,1,14,0.319,0.4847,1,0,0,0.0,0,0,0.022551
HP001581,2026-01-01,RET-202601,SOUTH,PUSH,STANDARD,976,36,1,25.58,25.2,0.0975,0.0148,3,8,0,55,0.483,0.4193,1,0,0,0.0,1,0,0.039195
HP003932,2025-11-01,RET-202511,NORTHEAST,EMAIL,PREMIUM,1980,70,5,465.16,92.84,0.1065,0.0169,2,4,0,21,0.3939,0.421,1,0,0,0.0,0,0,0.059752
HP005268,2025-10-01,RET-202510,SOUTH,EMAIL,STANDARD,368,47,0,0.0,63.78,0.165,0.0234,1,11,2,104,0.2035,0.4116,1,0,0,0.0,1,0,0.039781
HP004192,2025-12-01,RET-202512,NORTHEAST,PUSH,STANDARD,419,51,1,76.17,72.84,0.0554,,4,4,1,145,0.3682,0.3986,1,0,1,100.14,0,0,0.052825
HP001689,2026-04-01,RET-202604,MIDWEST,EMAIL,STANDARD,320,27,2,76.96,31.98,0.0967,0.0121,2,6,0,13,0.235,0.4387,1,0,0,0.0,0,0,0.043286
HP001067,2026-03-01,RET-202603,MIDWEST,EMAIL,PLUS,519,18,1,56.57,54.86,0.1707,0.0366,3,12,0,69,0.5209,0.4418,1,0,1,68.8,0,0,0.053634
