customer_id,scoring_date,country,device_type,customer_tenure_days,customer_value_tier,days_since_last_transaction,transactions_7d,transactions_30d,transactions_60d,active_days_30d,payment_volume_30d_usd,avg_transaction_value_30d,transaction_count_change_30d_vs_prior30d,payment_volume_change_30d_vs_prior30d,failed_transactions_30d,support_contacts_30d,login_days_30d,products_used_60d,marketing_engagement_30d,inactive_next_30d,transactions_next_30d,future_inactivity_status,retention_case_opened_after_score
PW022835,2026-03-02,MX,Desktop,1021,Medium,4,0,0,2,1,56.45,47.58,-1.0,-0.4125,0,0,0,2,0.0302,0,1,Active,0
PW006541,2026-08-03,US,Desktop,1208,Low,18,0,0,5,1,34.97,40.02,-1.0,0.145,2,0,7,1,0.3043,1,0,Inactive,1
PW014260,2026-07-06,US,Mobile,828,Low,7,0,0,2,1,41.53,43.93,-1.0,0.0934,0,0,6,1,0.5511,0,1,Active,0
PW027481,2026-01-05,US,Mobile,470,High,12,2,6,7,3,377.74,69.39,-0.1429,-0.0174,0,0,0,2,0.0787,0,1,Active,0
PW000307,2026-01-05,BR,Mobile,1472,Low,38,1,2,2,1,55.55,35.16,0.0,-0.4642,2,1,2,1,0.0113,0,1,Active,0
PW028081,2026-02-02,BR,Mobile,1681,Medium,9,0,3,4,3,253.46,101.72,0.0,-0.0446,1,2,2,2,0.6982,0,2,Active,0
PW015989,2026-05-04,US,Desktop,247,Low,11,0,0,1,1,22.71,20.06,-1.0,-0.6327,0,0,0,1,0.0584,0,2,Active,0
PW026333,2026-07-06,MX,Desktop,914,Low,6,0,0,1,1,42.43,,-1.0,0.0562,0,0,6,1,0.1612,0,1,Active,0
PW000051,2026-07-06,US,Mobile,1080,Medium,0,1,3,4,3,204.5,62.09,0.0,-0.3056,0,0,0,2,0.3228,0,1,Active,0
PW020363,2026-03-02,US,Mobile,807,Low,50,0,0,2,1,96.31,73.35,-1.0,-0.1912,0,0,0,1,,0,1,Active,0
PW004272,2026-04-06,US,Desktop,451,Low,5,0,2,5,2,38.05,21.73,-0.5,-0.3303,0,0,1,1,0.3431,0,1,Active,0
