customer_id,snapshot_date,recency_days,frequency_12m,monetary_12m,avg_order_value,discount_order_share,email_engagement_rate,digital_order_share,return_rate,tenure_days,synthetic_profile_truth,marketing_consent,region
C000001,2026-06-30,106,7,671.36,110.05,0.1241,0.1479,0.4949,0.1281,1493,at_risk,1,SOUTH
C000002,2026-06-30,26,10,740.65,69.03,0.1395,0.2746,0.8738,0.0376,875,growth,1,MIDWEST
C000003,2026-06-30,12,2,185.49,103.47,0.1287,0.1147,0.6065,0.0324,2585,at_risk,1,NORTHEAST
C000004,2026-06-30,29,10,770.33,73.73,0.8298,0.4671,0.7812,0.0637,683,deal_seekers,1,NORTHEAST
C000005,2026-06-30,4,16,2208.88,137.76,0.1984,0.4639,0.9209,0.0794,3067,champions,1,SOUTH
C000006,2026-06-30,347,1,77.9,65.92,0.4469,0.0285,0.3425,0.0888,884,dormant,0,SOUTH
C000007,2026-06-30,58,5,412.31,78.44,0.3008,0.3822,0.5132,0.0523,1927,at_risk,1,SOUTH
C000008,2026-06-30,47,5,642.32,145.02,0.1618,0.1302,0.246,0.2238,750,at_risk,1,WEST
C000009,2026-06-30,5,24,3224.16,122.03,0.1542,0.6654,0.9097,0.0875,1510,champions,1,SOUTH
C000010,2026-06-30,31,4,247.06,55.12,0.2393,0.3757,0.8382,0.1947,628,growth,1,SOUTH
C000011,2026-06-30,106,12,741.28,78.78,0.2949,0.3334,0.9088,0.0472,952,growth,1,WEST
C000012,2026-06-30,44,1,38.68,42.47,0.339,0.1042,0.3902,0.0529,834,dormant,1,WEST
C000013,2026-06-30,3,8,574.97,76.99,0.5216,0.4103,0.7668,0.0891,451,deal_seekers,1,MIDWEST
C000014,2026-06-30,170,0,0.0,97.64,0.2852,0.4457,0.599,0.1341,1711,at_risk,1,MIDWEST
C000015,2026-06-30,41,4,274.27,63.18,0.2466,0.4879,0.7943,0.0564,394,growth,1,MIDWEST
C000016,2026-06-30,31,11,812.11,74.49,0.3358,0.4706,0.5911,0.0955,1613,loyal,1,SOUTH
C000017,2026-06-30,11,11,661.58,55.51,0.5096,0.3469,0.6359,0.1127,563,deal_seekers,1,SOUTH
C000018,2026-06-30,3,22,1728.57,87.89,0.0672,0.4576,0.8407,0.0323,2853,champions,1,SOUTH
C000019,2026-06-30,15,5,747.21,145.03,0.4368,0.1119,0.4871,0.0322,1524,at_risk,1,WEST
C000020,2026-06-30,37,17,1182.53,86.47,0.5424,0.5177,0.6025,0.0945,1323,deal_seekers,1,MIDWEST
C000021,2026-06-30,69,6,363.16,66.34,0.1381,0.1846,0.2712,0.0253,244,at_risk,1,NORTHEAST
C000022,2026-06-30,71,5,313.69,70.91,0.1377,0.4015,0.8059,0.0104,532,growth,1,WEST
C000023,2026-06-30,65,0,0.0,41.27,0.5054,0.0379,0.3381,0.0673,1753,dormant,1,WEST
C000024,2026-06-30,212,2,119.97,59.91,0.2803,0.3531,0.3357,0.0114,596,dormant,1,NORTHEAST
